	PoS	FrDe	Ra	DiDe		LL	FrCg	Ra	DiCg
	VDZ	1879	25	0.95	+	52.9	1298	24	0.90
	VH0	9837	25	0.98	+	46.3	8527	25	0.94
	VHD	2971	25	0.94	+	7.5	2679	25	0.85
	VHG	486	25	0.91	+	0.0	485	25	0.89
	VHI	4111	25	0.96	+	57.1	3194	25	0.95
	VHN	840	25	0.89	+	27.7	562	25	0.90
	VHZ	3963	25	0.95	+	79.9	2912	25	0.92
	VM	21141	25	0.98	+	6.1	20424	25	0.96
	VMK	747	24	0.88	+	16.4	541	24	0.79
	VV0	33417	25	0.98	+	756.1	24071	25	0.95
	VVD	17237	25	0.96	+	994.5	9902	25	0.91
	VVG	13090	25	0.97	+	1.5	12810	25	0.96
	VVGK	2582	25	0.93	+	60.6	1848	25	0.91
	VVI	34089	25	0.98	+	4.3	33323	25	0.97
	VVN	15584	25	0.98	-	66.1	17691	25	0.97
	VVNK	47	18	0.85	+	17.6	6	3	0.45
	VVZ	7292	25	0.93	+	158.3	5291	25	0.94
	XX	23767	25	0.97	+	1800.1	12402	25	0.94
	ZZ1	2624	25	0.83	-	1323.5	7783	25	0.81
	ZZ2	43	9	0.67	-	26.7	139	9	0.55
